0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,AGE,ALB,BAY,BIA,BOU,BRI,CAS,CLE,MTB,MPL,NAR,PER,STF,TOU
SU Agen,,32-3,16-16,20-18,18-6,22-16,20-9,22-18,13-9,14-9,19-26,6-13,5-18,24-16
SC Albi,16-6,,24-12,10-23,21-18,19-3,19-12,6-27,12-10,15-9,29-0,16-7,16-21,13-13
Aviron bayonnais,19-15,15-9,,11-15,18-11,29-6,19-12,24-13,9-20,25-20,16-8,9-20,29-27,9-20
Biarritz olympique,17-7,20-6,54-0,,12-6,15-6,32-17,29-24,9-9,44-11,42-14,25-10,22-13,16-21
CS Bourgoin-Jallieu,31-18,36-11,39-10,9-0,,42-17,32-19,22-28,35-22,25-3,44-11,22-3,19-19,20-21
CA Brive,19-13,6-3,6-9,14-21,28-3,,22-15,28-22,11-16,25-16,23-21,22-22,6-21,9-24
Castres olympique,31-26,16-19,39-15,12-16,18-16,17-15,,13-9,25-13,51-13,62-14,19-13,16-26,19-35
ASM Clermont,20-3,70-6,61-24,25-17,40-9,44-3,30-23,,27-16,55-7,43-0,25-12,29-17,46-9
US Montauban,22-12,15-19,17-18,19-13,26-17,21-20,15-15,19-21,,13-12,41-20,12-29,15-9,19-24
Montpellier RC,26-7,23-14,39-17,39-29,19-7,12-17,20-17,18-31,19-17,,33-10,12-15,25-13,9-9
RC Narbonne,33-18,50-12,25-12,25-18,20-23,21-42,39-17,26-29,37-33,32-9,,15-19,24-33,10-41
USA Perpignan,31-18,20-3,36-30,15-23,16-9,24-13,20-16,32-15,13-18,14-9,45-6,,11-10,30-17
Stade français Paris,31-8,25-12,48-29,22-16,41-27,18-13,43-18,45-13,24-17,52-20,41-0,12-11,,22-20
Stade toulousain,47-0,23-0,47-28,20-3,25-15,26-29,35-3,24-7,30-21,28-10,40-34,16-12,12-16,
