Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,ASM Clermont,26,19,1,6,81,32,8,5,779,418,361,91
2,RC Toulon,26,18,1,7,69,33,11,5,779,456,323,90
3,Stade toulousain (T),26,17,0,9,67,37,7,4,702,501,201,79
4,Castres olympique,26,15,2,9,49,33,4,6,599,489,110,74
5,Montpellier HR,26,16,0,10,52,38,5,4,570,520,50,73
6,Racing Métro 92,26,16,0,10,32,28,2,7,512,431,81,73
7,USA Perpignan,26,13,0,13,50,48,2,7,593,607,-14,61
8,Aviron bayonnais,26,12,1,13,32,54,1,6,467,609,-142,57
9,Biarritz olympique,26,12,1,13,36,40,2,5,505,540,-35,57
10,Stade français Paris,26,12,1,13,42,60,2,2,578,691,-113,54
11,FC Grenoble (P),26,12,0,14,37,60,1,5,480,606,-126,54
12,Union Bordeaux Bègles,26,8,1,17,51,44,4,9,561,584,-23,47
13,SU Agen,26,6,0,20,33,67,0,7,423,709,-286,31
14,Stade montois (P),26,2,0,24,22,79,1,7,374,761,-387,16
