Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
SU Agen,10,12,12,13,13,11,10,12,13,12,12,13,13,13,12,12,13,13,12,13,13,13,13,13,13,13
Aviron bayonnais,12,5,10,9,11,13,11,10,12,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,10,8
Biarritz olympique,1,1,1,2,3,5,4,8,9,9,7,7,9,7,7,10,10,10,10,9,10,9,8,8,11,9
Bordeaux Bègles,9,6,9,12,10,12,13,13,11,13,13,12,12,12,13,13,12,12,13,12,12,12,12,12,12,12
Castres olympique,8,4,5,6,5,6,8,6,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4
ASM Clermont,3,7,3,4,2,2,1,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,1,1
FC Grenoble,7,11,8,5,6,8,6,5,6,6,6,6,6,6,5,6,6,6,7,8,8,8,9,10,9,11
Stade montois,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Montpellier HR,13,10,7,8,9,7,5,4,4,4,4,5,5,5,6,4,4,5,5,5,7,6,5,6,6,5
Stade français Paris,2,9,11,11,12,10,12,11,10,10,8,10,8,10,10,9,9,9,9,10,9,10,10,9,8,10
USA Perpignan,11,13,13,10,8,9,9,9,8,7,9,8,7,8,8,7,8,8,8,7,6,7,7,7,7,7
Racing Métro 92,5,8,6,7,7,4,7,7,7,8,10,9,11,9,9,8,7,7,6,6,5,5,6,5,5,6
RC Toulon,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Stade toulousain,6,2,4,3,4,3,3,2,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
