Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade rochelais,26,17,3,6,68,46,6,5,707,498,209,85
2,ASM Clermont,26,15,3,8,87,58,8,4,800,562,238,78
3,Montpellier HR,26,16,0,10,80,50,7,5,750,564,186,76
4,RC Toulon,26,14,2,10,68,50,5,4,674,511,163,69
5,Castres olympique,26,13,1,12,66,38,5,4,667,509,158,63
6,Racing 92 (T),26,14,1,11,63,62,3,1,586,616,-30,62
7,Stade français Paris,26,12,1,13,66,59,5,4,643,638,5,59
8,CA Brive,26,13,1,12,41,61,0,4,577,634,-57,58
9,Section paloise,26,12,1,13,58,70,2,5,604,701,-97,57
10,Lyon OU (P),26,11,2,13,55,56,3,4,573,632,-59,55
11,Union Bordeaux Bègles,26,11,1,14,50,52,2,6,569,581,-12,54
12,Stade toulousain,26,11,0,15,53,46,3,6,537,561,-24,53
13,FC Grenoble,26,7,1,18,58,99,2,6,611,852,-241,38
14,Aviron bayonnais (P),26,6,3,17,41,107,0,0,466,905,-439,30
