Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Bayonne,5,4,10,13,13,13,13,14,14,14,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14
Bordeaux-Bègles,4,9,13,7,12,6,6,5,6,6,5,2,6,6,7,9,9,9,11,8,8,7,11,9,11,11
Brive,8,3,1,6,4,9,7,7,10,8,9,9,10,9,11,10,10,10,9,9,10,9,8,11,10,8
Castres,2,2,8,10,6,4,9,10,9,9,8,6,5,8,5,7,4,4,3,5,61,51,51,81,5,5
Clermont,6,5,4,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2
Grenoble,14,14,14,14,14,14,14,13,13,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13
Lyon,9,11,7,11,9,12,12,9,11,10,10,11,12,12,12,12,12,12,12,11,11,11,9,7,9,10
Montpellier,12,12,12,5,3,2,4,3,3,5,4,4,2,2,3,3,3,3,4,3,31,31,31,31,3,3
Pau,13,13,9,12,10,8,10,12,12,12,11,12,11,10,9,8,6,6,5,4,5,6,7,10,8,9
Racing 92,11,8,3,8,5,7,11,8,7,7,7,7,8,5,8,6,8,7,7,7,91,81,61,51,6,6
La Rochelle,7,6,2,1,2,1,2,2,4,2,2,3,4,3,2,2,1,2,1,1,1,1,1,1,1,1
Stade français,1,7,6,3,7,11,8,11,8,11,12,10,9,11,10,11,11,11,10,12,121,121,101,61,7,7
Toulon,10,10,11,4,8,5,3,4,2,3,3,5,3,4,4,5,5,5,6,6,4,4,4,4,4,4
Toulouse,3,1,5,9,11,10,5,6,5,4,6,8,7,7,6,4,7,8,8,10,7,10,12,12,12,12
