0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,BAY,UBB,CAB,CAS,CLE,GRE,LOU,MHR,SFR,PAU,RAC,ROC,RCT,TOU
Aviron bayonnais,,24-20,33-23,12-12,22-14,43-35,22-22,9-21,16-32,25-25,3-16,17-42,28-23,16-13
Bordeaux-Bègles,40-20,,27-25,17-29,23-23,46-14,32-10,15-32,37-19,16-18,15-9,26-0,13-26,20-11
CA Brive,26-9,19-22,,33-27,16-40,23-22,22-6,28-25,28-20,38-25,25-16,29-28,15-5,21-19
Castres olympique,47-18,33-27,32-13,,26-16,46-9,16-17,38-25,33-10,28-11,31-23,18-26,34-17,52-7
ASM Clermont,46-27,40-16,21-26,29-19,,21-20,16-13,19-28,46-10,65-13,47-10,30-26,30-6,29-25
FC Grenoble,44-16,22-24,36-23,21-20,18-59,,53-21,37-51,44-22,38-39,19-10,19-22,23-23,26-22
Lyon OU,52-7,19-16,15-15,19-23,20-23,32-13,,16-3,35-33,27-22,37-25,29-25,27-13,25-20
Montpellier HR,61-22,31-26,42-13,28-19,22-26,54-14,25-20,,27-26,41-13,54-3,12-11,33-29,27-18
Stade français,51-5,29-9,12-10,29-25,30-30,54-20,25-19,21-17,,51-16,27-23,31-26,17-11,15-18
Section paloise,25-9,28-30,32-27,18-12,40-35,39-22,38-15,32-27,23-6,,26-17,13-23,18-22,20-24
Racing 92,59-20,22-20,33-25,23-10,27-24,29-24,29-16,21-9,29-22,34-32,,15-38,41-30,28-14
Stade rochelais,34-17,16-5,36-17,22-8,30-30,40-3,43-18,40-37,37-18,27-6,23-23,,17-17,25-19
RC Toulon,82-14,37-10,21-25,23-14,23-21,42-12,31-17,28-6,31-12,32-12,17-11,20-23,,33-23
Stade toulousain,40-12,22-17,30-12,16-15,26-20,31-3,42-26,20-12,23-18,10-20,8-10,21-27,15-32,
