0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,BAY,BIA,BOU,BRI,CAS,CLE,DAX,USM,MDM,MRC,SFR,PER,RCT,TOU
Aviron bayonnais,,15-19,61-10,14-9,13-13,17-6,14-9,22-20,19-15,42-9,31-27,19-13,19-15,9-12
Biarritz O.,12-14,,29-22,24-5,32-17,18-14,44-13,38-10,37-7,46-3,13-32,12-10,19-12,17-13
Bourgoin-Jallieu,9-13,15-14,,19-19,31-23,23-30,43-6,25-15,18-6,22-3,25-32,16-22,12-23,12-18
CA Brive,13-6,19-15,20-12,,16-16,18-16,41-9,33-28,53-11,28-18,26-11,15-18,19-9,10-42
Castres O.,26-27,9-10,9-23,11-11,,12-6,11-19,31-19,26-6,26-31,16-21,26-32,25-9,10-28
ASM Clermont,44-10,32-6,57-23,52-7,43-20,,75-3,25-30,66-3,43-20,22-6,29-9,32-5,16-6
US Dax,27-17,30-18,32-10,15-17,16-32,16-20,,20-20,12-8,6-9,9-31,13-16,12-22,12-22
US Montauban,15-13,19-12,18-14,15-10,24-23,19-19,15-20,,37-19,27-19,22-16,6-9,42-20,10-41
Stade montois,30-37,6-33,16-16,16-18,21-15,12-11,12-6,16-13,,16-22,6-13,7-31,25-18,8-60
Montpellier RC,20-11,12-9,12-19,9-22,21-23,3-30,23-14,32-10,33-6,,26-13,3-5,33-8,16-11
Stade français,35-8,12-16,53-3,37-16,19-12,19-21,56-15,34-16,27-22,24-15,,13-13,22-12,13-26
USA Perpignan,38-10,27-12,40-14,34-18,16-9,20-16,17-6,19-9,44-3,50-13,11-26,,37-12,32-8
RC Toulon,3-3,10-5,15-9,3-3,17-21,22-16,6-13,33-20,38-22,23-3,13-19,29-32,,14-6
Stade toulousain,32-11,20-6,13-6,21-15,26-11,20-13,32-25,9-6,27-6,34-0,15-11,30-20,19-18,
