Rang,Club,J,V,N,D,Bo,Bd,Pm,Pe,Diff,Pts
1,USA Perpignan,26,20,1,5,8,2,615,374,241,92
2,Stade toulousain (T),26,21,0,5,6,2,594,324,270,92
3,ASM Clermont,26,16,1,9,9,8,754,367,387,83
4,Stade français Paris,26,16,1,9,7,5,622,430,192,78
5,Biarritz olympique,26,15,0,11,5,6,516,398,118,71
6,CA Brive,26,13,4,9,2,4,481,481,0,66
7,Aviron bayonnais,26,14,2,10,2,4,475,481,-6,66
8,US Montauban,26,10,2,14,3,6,485,572,-87,53
9,RC Toulon (P),26,9,2,15,3,8,409,488,-79,51
10,Montpellier HR,26,11,0,15,3,3,408,568,-160,50
11,CS Bourgoin-Jallieu,26,8,2,16,1,9,451,599,-148,46
12,Castres olympique,26,7,3,16,1,9,473,537,-64,44
13,US Dax,26,7,1,18,0,7,375,634,-259,37
14,Stade montois (P),26,5,1,20,0,7,325,730,-405,29
