Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,RC Toulon (T),26,16,0,10,81,52,7,5,740,525,215,76
2,ASM Clermont,26,16,1,9,58,40,5,4,630,464,166,75
3,Stade toulousain,26,16,0,10,53,37,3,3,573,504,69,70
4,Stade français Paris,26,15,1,10,60,54,6,2,591,576,15,70
5,Racing Métro 92,26,13,3,10,52,37,3,4,551,497,54,65
6,US Oyonnax,26,14,0,12,37,43,2,4,514,507,7,62
7,Union Bordeaux Bègles,26,12,0,14,66,45,4,9,701,578,123,61
8,Montpellier HR,26,11,2,13,44,46,2,5,537,516,21,55
9,Stade rochelais (P),26,10,5,11,43,67,2,2,520,659,-139,54
10,CA Brive,26,12,0,14,40,66,3,2,502,619,-117,53
11,FC Grenoble,26,11,0,15,54,70,3,6,626,735,-109,53
12,Castres olympique,26,11,0,15,50,63,4,4,509,627,-118,52
13,Aviron bayonnais,26,10,1,15,44,46,5,5,522,548,-26,52
14,Lyon OU (P),26,8,1,17,42,58,0,7,469,630,-161,41
