0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,BAY,UBB,CAB,CAS,CLE,GRE,LOU,MHR,USO,SFR,RAC,ROC,RCT,TOU
Aviron bayonnais,,15-12,23-6,21-19,24-13,42-33,23-22,10-15,38-12,23-6,6-12,45-12,15-29,35-19
Union Bordeaux Bègles,38-20,,46-10,59-7,51-21,34-16,18-9,27-21,26-23,22-23,30-21,21-22,28-23,20-21
CA Brive,25-9,34-24,,21-15,6-21,23-0,22-20,15-10,19-6,27-0,36-12,37-15,13-53,26-19
Castres olympique,30-6,22-20,32-12,,31-10,51-10,23-20,27-9,27-18,22-25,9-14,30-15,22-14,9-13
ASM Clermont,28-16,31-23,44-20,19-10,,30-26,43-12,20-21,10-11,51-9,32-6,30-10,22-19,24-6
FC Grenoble,24-15,37-23,26-25,12-16,17-37,,34-30,20-18,33-19,30-43,27-25,30-12,24-35,32-11
Lyon OU,24-19,22-37,24-6,28-18,16-13,29-24,,23-20,26-23,12-9,11-13,16-16,14-22,17-41
Montpellier HR,33-16,34-24,10-25,43-10,17-29,20-17,45-17,,25-9,23-3,16-19,15-15,16-12,23-20
US Oyonnax,12-9,28-23,24-3,23-13,8-19,40-27,28-10,20-13,,33-6,21-16,37-9,18-21,9-3
Stade français,34-29,39-22,20-17,49-13,40-26,21-30,23-20,35-21,13-15,,23-19,43-10,30-6,12-21
Racing Métro 92,27-10,12-9,46-32,53-10,13-13,34-29,28-11,24-24,17-21,19-28,,27-8,17-10,27-16
Stade rochelais,19-19,26-29,19-12,41-16,16-12,19-15,29-10,21-15,35-20,19-19,18-18,,32-29,37-25
RC Toulon,24-17,18-13,34-11,37-21,27-19,61-28,30-6,40-17,46-17,24-28,32-23,60-19,,24-34
Stade toulousain,20-17,23-22,67-19,35-6,9-13,22-25,23-20,18-13,20-19,22-10,15-9,29-26,21-10,
