Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Aviron bayonnais,13,6,13,13,10,10,8,8,10,9,10,10,9,10,13,10,12,10,10,10,11,13,13,13,13,13
Union Bordeaux Bègles,3,4,5,8,5,4,7,5,3,4,6,6,7,5,6,5,6,6,7,8,9,9,8,8,6,7
CA Brive,1,7,12,9,12,14,10,13,13,11,9,11,10,11,9,12,10,11,12,11,12,11,10,10,12,10
Castres olympique,9,13,10,12,14,12,14,10,12,14,13,14,14,14,12,13,14,14,14,14,13,12,12,12,10,12
ASM Clermont,4,3,4,2,1,1,1,2,1,2,1,2,2,3,1,1,3,1,2,2,2,2,2,2,2,2
FC Grenoble,11,10,8,5,7,7,4,7,6,7,5,5,5,6,5,6,8,7,8,6,8,8,11,11,11,11
Lyon OU,12,11,11,7,11,13,9,12,9,12,14,12,12,12,10,11,11,13,13,13,14,14,14,14,14,14
Montpellier HR,10,8,3,1,4,3,5,4,4,5,8,8,6,8,7,8,7,9,9,9,7,7,7,7,8,8
US Oyonnax,8,12,9,11,8,8,11,14,14,13,11,9,11,9,11,9,9,8,5,7,6,6,6,5,5,6
Stade français,5,5,7,4,2,6,3,6,5,3,3,3,3,1,2,2,1,3,3,3,3,3,4,4,3,4
Racing Métro 92,6,9,6,10,6,5,5,3,7,6,4,4,4,4,4,4,4,4,4,4,4,4,5,6,7,5
Stade rochelais,14,14,14,14,13,12,12,9,11,10,12,13,13,13,14,14,13,12,11,12,10,10,9,9,9,9
RC Toulon,2,1,1,3,3,2,2,1,2,1,2,1,1,2,3,3,2,2,1,1,1,1,1,1,1,1
Stade toulousain,7,2,2,6,9,9,13,11,8,8,7,7,8,7,8,7,5,5,6,5,5,5,3,3,4,3
