0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,AGE,UBB,CAB,CAS,CLE,LOU,MHR,OYO,SFR,PAU,RAC,ROC,RCT,TOU
SU Agen,,10-15,27-13,30-3,27-17,6-25,31-29,36-21,29-13,14-20,23-19,15-20,26-24,25-52
Bordeaux-Bègles,33-23,,27-27,6-7,32-25,19-10,47-17,20-26,30-10,19-18,15-39,29-19,30-27,19-25
CA Brive,15-12,22-20,,27-22,9-11,25-27,29-10,33-30,20-19,16-21,6-25,10-19,13-12,19-22
Castres olympique,43-28,33-19,37-28,,29-23,33-22,17-22,54-3,28-6,27-29,13-18,31-15,20-19,28-23
ASM Clermont,35-26,33-3,62-6,27-31,,39-18,29-30,12-18,33-10,38-14,23-21,21-17,21-16,36-26
Lyon OU,71-17,49-14,29-14,31-12,36-10,,32-24,52-18,44-3,35-23,22-24,15-19,15-6,9-17
Montpellier HR,48-19,11-10,54-10,45-7,28-24,38-17,,37-6,28-16,45-13,41-3,40-24,43-20,32-22
US Oyonnax,12-10,9-39,40-17,19-32,32-32,39-18,30-43,,33-27,16-19,12-16,38-38,29-26,23-23
Stade français,34-36,22-12,30-22,23-17,50-13,16-25,31-20,39-35,,5-40,27-17,35-24,15-19,33-37
Section paloise,22-33,27-17,34-15,28-13,22-21,30-14,16-22,33-12,23-25,,24-15,18-15,38-26,11-10
Racing 92,42-13,29-13,17-13,25-20,58-6,17-20,26-0,25-13,28-22,23-20,,19-12,17-13,23-19
Stade rochelais,47-6,31-20,33-24,18-26,51-20,19-15,26-14,57-12,31-7,44-14,16-9,,20-27,37-21
RC Toulon,54-5,36-12,41-24,59-13,49-0,39-11,32-17,49-25,43-5,41-14,29-40,26-20,,20-16
Stade toulousain,30-10,38-37,45-28,31-41,28-18,20-27,22-14,37-15,53-17,23-19,42-27,19-14,18-13,
