Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Agen,14,11,11,12,12,13,13,13,12,12,12,13,12,13,13,13,13,12,11,12,11,11,11,11,11,11
Bordeaux-Bègles,5,8,5,9,7,6,5,6,7,6,7,8,8,8,8,9,9,9,9,10,10,10,9,10,10,10
Brive,12,14,14,14,14,14,14,14,13,13,13,12,13,12,12,12,12,13,13,13,14,13,13,14,14,14
Castres,9,3,7,10,10,10,11,10,8,7,6,5,3,3,4,4,7,5,6,7,8,8,8,6,6,6
Clermont,10,9,13,7,8,9,9,9,10,9,9,9,10,10,10,10,10,10,10,9,9,9,10,9,9,9
Lyon,3,2,6,3,3,2,1,1,1,2,3,3,7,7,7,7,6,8,8,6,7,7,7,5,5,5
Montpellier,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
Oyonnax,8,12,9,11,11,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,13,13,13
Paris,11,7,12,13,13,11,10,11,11,11,11,11,11,11,11,11,11,11,12,11,12,12,12,12,12,12
Pau,13,13,10,8,9,8,7,8,9,10,10,10,9,9,9,8,8,7,4,5,5,6,5,7,8,8
Racing 92,6,6,2,2,5,7,8,7,6,4,4,4,4,4,3,3,2,2,2,2,2,2,2,3,2,2
La Rochelle,4,10,3,4,2,5,4,3,3,3,2,1,2,1,2,2,3,6,7,8,6,5,6,8,7,7
Toulon,2,5,4,6,6,4,6,4,5,8,8,7,5,5,5,5,4,4,5,3,4,4,4,4,4,4
Toulouse,7,4,8,5,4,3,3,5,4,5,5,6,6,6,6,6,5,3,3,4,3,3,3,2,3,3
