Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade toulousain (T),26,19,1,6,56,24,6,3,629,448,181,87
2,ASM Clermont,26,19,2,5,53,28,5,2,644,364,280,87
3,RC Toulon,26,14,5,7,44,22,5,2,581,393,188,73
4,Castres olympique,26,14,4,8,38,46,3,2,585,522,63,69
5,Montpellier HR,26,14,1,11,53,36,4,5,601,505,96,67
6,Racing Métro 92,26,13,1,12,47,37,4,6,569,538,31,64
7,Stade français Paris,26,11,2,13,50,53,6,4,568,588,-20,58
8,Union Bordeaux Bègles (P),26,12,0,14,42,52,2,3,493,619,-126,53
9,Biarritz olympique,26,10,2,14,26,48,1,7,424,518,-94,52
10,SU Agen,26,12,1,13,30,51,1,1,479,573,-94,52
11,USA Perpignan,26,9,2,15,38,43,2,7,515,578,-63,49
12,Aviron bayonnais,26,9,3,14,27,44,1,5,479,619,-140,48
13,CA Brive,26,7,1,18,27,29,2,10,408,488,-80,42
14,Lyon OU (P),26,5,3,18,28,46,0,5,369,591,-222,31
