0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,AGE,BAY,BIA,BOB,BRI,CAS,CLE,LOU,MHR,SFR,PER,RAC,RCT,TOU
SU Agen,,37-18,6-15,24-15,15-9,23-12,20-29,24-18,18-12,37-13,22-17,25-22,22-13,23-24
Aviron bayonnais,31-10,,24-19,20-27,19-12,16-16,22-22,15-9,17-26,26-20,18-16,27-23,12-12,18-13
Biarritz olympique,9-9,21-19,,38-13,26-11,18-23,15-14,15-15,23-30,16-5,24-29,22-13,25-6,15-20
Bordeaux Bègles,29-15,18-6,11-13,,16-12,24-9,10-17,31-10,26-30,39-6,37-29,22-18,16-27,18-17
CA Brive,19-20,30-10,32-7,9-23,,13-15,6-9,12-15,9-23,25-9,17-9,12-18,14-9,9-9
Castres olympique,30-11,31-29,29-23,44-20,30-24,,30-19,6-6,27-19,35-10,33-6,19-23,22-22,24-3
ASM Clermont,29-13,19-13,41-0,34-6,57-14,33-16,,22-13,22-9,25-9,29-23,31-13,25-19,35-5
Lyon OU,19-11,19-20,17-34,24-13,9-22,16-18,6-6,,10-30,18-6,19-12,22-33,5-29,9-19
Montpellier HR,44-18,37-26,21-16,16-20,12-28,16-21,29-23,43-12,,38-6,22-11,29-14,19-6,25-45
Stade français,53-27,33-18,23-10,41-20,28-17,38-21,37-16,40-19,19-19,,35-31,29-3,19-19,18-22
USA Perpignan,12-19,47-9,25-6,38-13,12-9,25-6,3-39,34-22,19-12,16-35,,14-14,22-22,25-10
Racing Métro 92,26-8,22-21,28-9,22-13,40-19,27-16,11-22,25-12,30-22,19-13,47-23,,9-16,13-19
RC Toulon,34-12,50-10,30-5,44-7,18-3,25-25,0-17,20-15,19-6,34-8,38-0,32-20,,25-22
Stade toulousain,21-10,30-15,24-0,56-6,30-21,34-27,22-9,51-10,20-13,18-15,21-17,41-36,33-12,
