Rang,Club,J,V,N,D,Bo,Bd,Pm,Pe,Diff,Pts
1,USA Perpignan (T),26,17,0,9,8,4,582,412,170,80
2,RC Toulon,26,18,1,7,3,3,541,456,85,80
3,ASM Clermont,26,15,3,8,8,4,644,414,230,78
4,Stade toulousain,26,15,1,10,4,8,524,359,165,74
5,Castres olympique,26,14,3,9,6,5,542,398,144,73
6,Racing Métro 92 (P),26,14,1,11,0,6,518,530,-12,64
7,Biarritz olympique,26,12,0,14,4,7,471,442,29,59
8,Stade français Paris,26,10,4,12,5,5,600,572,28,58
9,CA Brive,26,11,2,13,5,5,459,513,-54,58
10,Montpellier HR,26,13,0,13,1,2,453,574,-121,55
11,CS Bourgoin-Jallieu,26,11,1,14,0,4,407,591,-184,50
12,US Montauban,26,10,2,14,0,5,422,525,-103,49
13,Aviron bayonnais,26,9,0,17,3,8,492,490,2,47
14,SC Albi (P),26,4,0,22,0,8,349,728,-379,24
