0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,SCA,BAY,BIA,BOU,BRI,CAS,CLE,MTB,MRC,SFR,PER,RAC,RCT,TOU
SC Albi,,19-14,20-9,7-17,15-17,21-25,8-40,12-26,15-18,38-24,24-23,13-19,9-15,6-24
Aviron bayonnais,46-13,,15-0,53-6,33-25,6-15,22-13,38-13,26-3,38-24,13-30,19-23,8-14,13-15
Biarritz O.,39-6,12-6,,23-6,12-6,12-24,19-26,42-13,26-10,30-22,27-12,20-23,23-9,26-10
Bourgoin-Jallieu,26-16,12-6,22-17,,14-14,16-9,28-37,22-14,20-23,16-22,17-6,17-13,9-13,15-13
CA Brive,39-6,19-14,12-15,25-15,,11-9,9-9,19-14,30-9,26-14,29-9,10-18,23-26,27-21
Castres O.,44-10,26-10,34-6,29-9,35-10,,9-9,30-7,33-18,32-14,11-17,9-6,21-19,30-10
ASM Clermont,45-18,38-13,13-16,32-3,52-10,25-19,,37-16,41-3,19-19,22-17,30-22,39-3,19-12
US Montauban,20-6,22-8,14-5,12-15,23-20,18-18,20-15,,6-19,6-6,16-13,45-31,21-18,16-17
Montpellier RC,62-17,16-22,22-18,34-17,3-25,15-0,16-9,19-0,,25-23,18-12,22-19,21-20,12-30
Stade français,23-18,34-10,25-15,20-6,44-16,44-18,19-10,35-40,43-26,,14-20,41-17,18-22,0-29
USA Perpignan,44-0,28-20,19-14,49-20,21-9,17-15,19-3,28-9,29-3,44-23,,31-12,25-9,17-15
Racing Métro 92,9-6,18-9,29-22,17-18,25-18,24-24,33-24,17-12,18-14,20-18,14-18,,28-15,27-20
RC Toulon,41-13,31-13,21-20,46-28,19-10,19-6,26-21,18-7,31-19,22-22,33-23,27-13,,18-13
Stade toulousain,19-13,21-17,23-3,41-3,38-0,25-17,15-16,17-12,34-3,9-9,22-11,28-23,3-6,
