0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Résultats (▼dom., ►ext.)",AGE,BAY,BOR,BRI,CAS,CLE,LYO,MON,SFR,PAU,RAC,LAR,TLN,TLS
Agen,—,15-26,3-49,6-15,22-26,16-52,16-19,19-39,3-20,7-47,14-54,13-43,9-38,0-59
Bayonne,48-20,—,22-47,26-23,23-26,21-19,20-28,29-20,9-12,22-23,23-13,19-36,35-29,20-24
Bordeaux Bègles,71-5,43-19,—,25-20,20-16,16-16,31-9,57-9,44-6,29-23,12-17,11-26,31-18,10-21
Brive,57-3,42-23,25-23,—,28-33,21-43,12-8,23-22,28-31,19-13,19-23,24-12,25-23,16-36
Castres,39-23,31-21,29-30,24-25,—,14-40,37-29,48-17,16-22,38-33,28-26,22-15,46-24,26-24
Clermont,31-12,73-3,36-37,37-27,59-19,—,26-18,15-21,41-27,50-29,22-24,25-20,25-16,33-30
Lyon,52-7,62-10,27-10,24-7,14-15,41-30,—,24-20,20-19,17-18,23-27,22-18,54-16,31-23
Montpellier,42-13,23-19,22-23,30-6,19-21,22-16,16-21,—,31-6,23-26,22-24,32-22,29-10,9-16
Stade français,40-21,19-26,26-16,51-21,29-9,27-34,46-27,32-10,—,46-32,25-27,35-13,24-23,48-14
Pau,33-23,43-33,29-24,27-32,13-17,31-42,29-29,41-25,29-27,—,29-35,24-35,29-33,16-22
Racing 92,45-10,43-17,32-33,55-12,23-20,45-19,34-26,41-17,29-35,24-22,—,26-22,23-29,24-30
La Rochelle,59-0,40-3,20-6,36-22,62-3,19-10,38-23,22-9,16-11,51-27,9-6,—,29-15,11-14
Toulon,34-17,14-16,25-19,35-19,19-6,27-9,36-14,25-21,35-13,18-13,25-21,11-29,—,44-10
Toulouse,63-18,28-32,45-23,42-17,16-16,36-27,7-16,16-29,48-24,31-9,34-16,39-23,39-19,—
