Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Agen,9,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Bayonne,14,11,6,8,9,9,10,11,8,9,9,11,11,12,12,12,13,13,12,12,12,12,13,12,12,13
Bordeaux Bègles,11,8,12,12,12,12,11,8,9,8,8,8,8,6,6,4,4,5,5,5,5,6,7,3,4,4
Brive,1,5,4,6,8,11,12,13,13,13,10,9,9,9,9,9,10,9,10,10,10,10,11,11,11,11
Castres,4,10,10,11,13,13,13,12,12,12,13,13,12,10,10,11,9,10,9,8,8,8,6,8,8,7
Clermont,6,3,1,5,4,2,1,2,3,3,6,7,7,5,5,6,5,4,4,4,4,4,4,5,5,5
Lyon,10,13,8,10,5,4,4,3,7,7,7,5,5,7,7,7,7,7,7,6,6,5,9,9,9,9
Montpellier,8,14,13,13,11,8,9,10,11,11,12,12,13,13,13,13,12,11,11,11,11,11,10,10,10,10
Paris,12,7,9,9,10,10,6,9,4,6,5,6,4,8,8,8,8,8,8,9,9,9,8,7,7,6
Pau,5,2,5,2,3,5,7,7,10,10,11,10,10,11,11,10,11,12,13,13,13,13,12,13,13,12
Racing 92,3,1,3,5,7,6,5,5,6,4,3,3,3,3,4,3,3,2,3,3,3,3,3,4,3,3
La Rochelle,2,9,11,3,2,3,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2
Toulon,13,6,7,7,6,7,8,6,5,5,4,3,6,4,3,5,6,6,6,7,7,7,5,6,6,8
Toulouse,7,4,2,1,1,1,3,4,2,2,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1
