Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Agen,14,10,12,9,12,12,13,12,13,13,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12
Bordeaux-Bègles,3,6,8,10,9,7,8,5,8,7,6,5,4,7,5,5,5,6,4,6,6,6,8,9,9,10
Castres,6,3,5,3,5,4,5,9,7,6,7,6,9,8,8,8,7,5,3,5,5,5,4,5,5,7
Clermont,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Grenoble,10,12,13,13,13,13,11,11,11,11,13,12,11,12,12,13,13,13,13,13,13,13,13,13,13,13
Lyon,8,11,9,5,7,5,3,5,4,8,4,7,5,5,4,4,3,3,5,3,3,3,3,3,3,3
Montpellier,9,5,7,11,8,6,4,7,9,9,9,9,8,9,9,9,9,9,9,9,9,9,7,7,6,6
Paris,2,2,4,2,2,2,2,2,3,5,8,6,7,4,6,6,6,8,8,8,7,8,9,8,8,8
Pau,12,8,6,8,10,10,10,10,10,10,11,11,12,10,10,10,11,11,11,11,11,11,11,11,11,11
Perpignan,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Racing 92,4,7,2,6,3,3,7,4,5,3,5,4,6,6,7,7,8,7,6,4,4,4,5,6,4,4
La Rochelle,5,9,10,7,6,9,9,8,6,4,3,3,3,3,3,3,4,4,7,7,8,7,6,4,7,5
Toulon,11,14,11,12,11,11,12,13,12,12,10,10,10,11,11,11,10,10,10,10,10,10,10,10,10,9
Toulouse,7,4,3,4,4,8,6,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
