Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Aviron bayonnais,V,D,D,V,D,V,V,V,V,D,V,V,V,D,D,V,D,V,D,V,D,V,N,V,D,V
Union Bordeaux Bègles,V,D,V,V,V,V,D,V,D,V,V,V,V,V,D,D,V,V,V,D,V,D,D,V,D,V
Castres olympique,V,D,V,D,V,D,V,D,V,V,D,D,D,V,V,N,V,D,N,V,V,D,V,D,V,D
ASM Clermont,V,D,V,D,V,D,V,D,V,V,V,D,D,V,D,D,D,D,D,V,D,V,D,V,V,V
Lyon OU,V,V,D,V,D,V,D,D,D,D,D,N,N,V,V,V,D,V,V,D,V,D,D,D,D,D
Montpellier HR,D,V,D,D,D,V,D,V,D,V,D,V,V,V,D,D,D,V,D,V,D,V,V,D,V,D
Stade français Paris,D,V,D,D,V,D,D,V,D,V,D,V,D,D,D,V,D,V,V,D,D,D,D,V,D,V
Section paloise,D,V,D,V,D,V,D,D,D,D,V,D,V,D,V,D,V,V,V,D,D,D,V,V,V,V
USA Perpignan,D,D,D,V,V,D,V,D,V,D,D,D,V,D,V,N,D,D,D,N,V,D,V,D,D,V
Racing 92,D,V,D,D,V,V,D,V,V,D,D,D,N,D,D,D,V,D,V,V,D,V,N,V,D,V
Stade rochelais,V,D,V,V,V,D,V,D,V,D,D,V,D,V,D,D,D,D,N,D,V,V,V,V,V,D
RC Toulon,D,V,V,V,D,D,V,D,V,V,V,V,D,V,V,V,V,D,V,D,V,D,D,D,V,D
Stade toulousain,V,V,V,D,D,V,V,V,D,V,V,N,V,D,V,V,V,V,D,V,V,V,V,D,V,D
RC Vannes,D,D,V,D,D,D,D,V,D,D,V,D,D,D,V,V,V,D,D,N,D,V,D,D,D,D
