Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,RC Toulon,26,16,1,9,54,27,5,6,660,466,194,77
2,Montpellier HR,26,15,1,10,59,46,7,7,670,525,145,76
3,ASM Clermont,26,15,1,10,59,37,6,5,659,500,159,73
4,Stade toulousain,26,13,2,11,53,30,7,6,548,442,106,69
5,Racing Métro 92,26,15,2,9,32,34,1,4,459,448,11,69
6,Castres olympique (T),26,13,2,11,50,35,6,4,567,488,79,66
7,Stade français Paris,26,14,1,11,46,46,3,4,529,496,33,65
8,Union Bordeaux Bègles,26,13,0,13,58,44,5,7,629,573,56,64
9,CA Brive (P),26,11,2,13,32,36,4,9,473,476,-3,61
10,Aviron bayonnais,26,11,1,14,29,48,1,7,424,549,-125,54
11,FC Grenoble,26,11,2,13,32,52,1,4,465,625,-160,53
12,US Oyonnax (P),26,11,1,14,34,49,1,4,456,562,-106,51
13,USA Perpignan,26,10,1,15,35,48,2,7,486,593,-107,51
14,Biarritz olympique,26,5,1,20,27,68,0,8,374,656,-282,30
