Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Aviron bayonnais,1,8,3,9,12,12,13,13,13,12,12,12,12,13,12,13,13,11,13,13,11,12,13,12,11,10
Biarritz olympique,11,5,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Bordeaux Bègles,2,9,5,8,11,9,10,12,10,11,11,11,10,9,9,9,10,9,10,10,9,8,7,7,8,8
CA Brive,12,4,11,14,13,13,11,10,9,10,8,9,11,10,10,10,9,10,9,9,8,9,9,9,9,9
Castres olympique,9,3,8,3,5,4,8,8,11,9,10,5,3,2,3,3,3,3,5,3,6,4,4,6,5,6
ASM Clermont,4,10,2,1,3,1,6,2,5,2,3,2,1,1,1,1,2,1,1,1,2,1,3,3,3,3
FC Grenoble,6,13,7,12,8,11,7,9,7,6,7,8,7,7,7,6,4,6,6,6,10,10,10,10,10,11
Montpellier HR,8,14,9,5,2,6,3,4,2,4,2,4,6,6,6,7,5,4,2,5,3,3,1,1,2,2
US Oyonnax,14,11,14,10,7,10,12,11,12,13,13,13,13,12,13,12,11,12,11,11,12,13,11,13,12,12
Stade français,10,7,1,7,4,3,2,1,4,7,5,6,5,5,2,2,1,2,3,2,4,5,8,8,7,7
USA Perpignan,5,6,12,6,10,8,9,7,6,5,6,7,9,11,11,11,12,13,12,12,13,11,12,11,13,13
Racing Métro 92,3,12,6,11,6,7,5,6,8,8,9,10,8,8,8,8,8,8,8,8,7,7,5,4,4,5
RC Toulon,7,1,4,2,1,2,1,3,1,3,1,1,4,3,4,5,7,5,4,4,1,2,2,2,1,1
Stade toulousain,13,2,10,4,9,5,3,5,3,1,4,3,2,4,5,4,6,7,7,7,5,6,6,5,6,4
