0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,BAY,BIA,UBB,CAB,CAS,CLE,GRE,MHR,USO,SFR,PER,RAC,RCT,TOU
Aviron bayonnais,,27-19,22-23,9-6,23-13,18-9,24-21,24-19,39-11,24-19,31-20,16-19,9-15,21-13
Biarritz olympique,8-11,,15-22,19-13,34-34,18-22,21-27,19-12,22-24,6-18,12-16,9-6,13-24,6-16
Bordeaux-Bègles,34-6,54-20,,27-23,21-20,26-16,38-17,29-36,35-10,45-23,23-5,25-9,20-22,31-25
CA Brive,17-10,9-14,25-12,,34-0,26-24,31-6,15-9,19-17,28-12,31-6,9-9,23-10,25-13
Castres olympique,46-16,39-0,15-9,38-6,,22-22,34-6,22-15,17-16,38-10,37-13,19-15,22-15,29-27
ASM Clermont,55-0,35-6,40-11,36-29,23-11,,27-13,42-16,33-19,25-13,25-22,47-14,22-16,38-19
FC Grenoble,21-21,20-22,21-14,12-12,20-16,16-13,,30-36,23-10,19-16,25-19,13-26,28-26,25-18
Montpellier HR,43-27,48-22,28-23,33-24,16-20,43-3,25-18,,45-20,19-10,50-19,44-10,22-22,25-0
US Oyonnax,9-6,24-22,26-12,26-9,19-9,30-19,40-13,8-22,,15-16,22-9,6-0,25-22,19-19
Stade français,13-9,38-3,37-23,25-18,32-6,23-16,21-6,18-11,29-26,,19-12,22-32,23-0,27-27
USA Perpignan,20-8,16-10,31-20,12-6,26-23,23-30,36-13,28-16,22-12,27-28,,19-19,31-46,20-16
Racing Métro 92,18-8,37-7,26-19,19-14,25-15,22-6,20-22,17-12,22-9,16-12,19-16,,14-3,25-5
RC Toulon,18-12,33-20,37-17,62-12,19-13,25-19,21-22,43-10,64-10,17-15,15-9,41-14,,32-28
Stade toulousain,40-3,31-7,18-16,16-9,26-9,19-12,38-8,12-15,14-3,28-10,37-9,30-6,13-12,
