Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
SU Agen,10,14,13,13,14,14,14,14,13,13,14,14,14,14,13,13,13,14,14,14,14,14,14,14,14,13
Bordeaux Bègles,7,11,10,10,7,7,5,7,7,6,5,5,8,5,4,4,4,5,5,5,7,7,6,7,7,7
CA Brive,13,10,7,8,5,5,7,5,4,5,8,6,5,7,8,8,9,9,8,10,8,9,9,8,8,8
Castres olympique,8,4,6,7,9,9,10,10,9,8,7,8,7,8,7,7,7,7,7,7,6,6,7,6,6,6
ASM Clermont,1,1,1,1,1,1,1,1,1,1,3,2,4,4,3,2,2,1,1,1,1,1,1,1,1,1
FC Grenoble,3,6,3,5,8,8,6,8,8,10,10,10,9,10,9,10,10,10,9,8,10,10,10,10,10,10
Montpellier HR,2,5,4,2,2,2,4,6,6,7,6,7,6,6,6,6,5,4,3,2,2,2,2,3,2,3
US Oyonnax,12,7,9,11,12,13,11,13,14,14,13,13,13,13,14,14,14,13,13,13,13,13,13,13,13,14
Stade français,5,8,12,14,10,12,12,11,10,11,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12
Section paloise,11,9,14,9,11,11,13,12,12,12,11,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11
Racing 92,6,3,5,4,4,3,2,3,2,4,2,1,1,1,2,1,1,2,4,3,4,3,4,4,4,4
Stade rochelais,14,13,11,12,13,10,9,9,11,9,9,9,10,9,10,9,8,8,10,9,9,8,8,9,9,9
RC Toulon,9,12,8,6,6,6,8,4,5,2,4,4,3,2,1,3,3,3,2,4,3,4,3,2,3,2
Stade toulousain,4,2,2,3,3,4,3,2,3,3,1,3,2,3,5,5,6,6,6,6,5,5,5,5,5,5
