Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,ASM Clermont,26,18,1,7,77,33,10,4,735,431,304,88
2,RC Toulon,26,16,0,10,90,37,11,7,764,446,318,82
3,Montpellier HR,26,18,0,8,77,49,7,2,723,569,154,81
4,Racing 92,26,18,1,7,63,46,5,2,614,522,92,81
5,Stade toulousain,26,16,2,8,80,35,7,4,680,393,287,79
6,Castres olympique,26,15,0,11,67,36,6,5,650,496,154,71
7,Union Bordeaux Bègles,26,14,2,10,44,45,3,4,552,503,49,67
8,CA Brive,26,13,1,12,42,50,4,4,540,545,-5,62
9,Stade rochelais,26,11,0,15,51,65,4,6,553,656,-103,54
10,FC Grenoble,26,10,0,16,60,90,4,3,605,779,-174,47
11,Section paloise (P),26,10,1,15,30,75,1,3,420,675,-255,46
12,Stade français Paris (T),26,9,0,17,49,62,2,3,543,631,-88,41
13,SU Agen (P),26,5,0,21,50,102,1,5,531,846,-315,26
14,US Oyonnax,26,5,0,21,41,96,2,2,429,847,-418,24
