0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,SUA,UBB,CAB,CAS,CLE,GRE,MHR,USO,SFR,PAU,RAC,ROC,RCT,TOU
SU Agen,,16-31,37-19,18-23,16-33,27-33,21-45,23-19,28-23,26-33,30-18,31-27,13-52,9-20
Bordeaux-Bègles,24-19,,34-7,19-16,19-24,25-19,22-24,48-20,35-25,46-10,20-28,21-16,15-12,12-10
CA Brive,18-12,16-3,,23-22,21-26,45-24,19-18,31-13,22-13,46-10,33-27,28-6,29-26,21-21
Castres olympique,50-6,19-9,23-8,,17-28,23-31,34-19,35-26,35-14,37-6,34-8,67-20,24-9,15-9
ASM Clermont,38-10,26-26,25-6,42-13,,25-6,15-19,44-16,36-10,35-10,16-20,57-8,9-35,32-23
FC Grenoble,38-23,14-20,26-22,28-33,12-45,,19-30,42-17,19-21,41-15,35-39,39-23,33-29,14-53
Montpellier HR,45-20,19-16,19-3,22-19,24-19,51-10,,35-19,44-20,16-19,60-7,25-20,36-21,25-33
US Oyonnax,30-28,37-19,9-34,20-25,24-41,20-27,10-31,,25-12,42-23,9-18,17-16,13-44,17-25
Stade français,28-26,21-24,32-17,22-9,14-9,18-33,20-26,69-8,,34-18,16-34,33-20,13-20,18-17
Section paloise,33-31,3-15,13-18,21-16,10-16,29-12,26-16,25-6,19-12,,15-15,15-11,9-25,9-6
Racing 92,38-13,23-18,17-14,9-13,26-20,23-14,40-25,26-3,27-18,43-13,,20-19,20-21,28-13
Stade rochelais,23-6,22-15,21-18,25-21,6-44,33-16,36-10,38-3,21-18,35-16,14-30,,19-14,28-8
RC Toulon,53-23,44-3,44-15,17-7,18-19,38-8,52-8,61-3,23-16,21-17,22-27,45-24,,10-12
Stade toulousain,52-19,13-13,24-7,37-20,22-11,52-12,29-31,27-3,36-3,54-3,14-3,39-22,31-8,
