Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
Aviron bayonnais,V,D,D,V,D,D,V,D,V,D,V,D,V,D,V,D,V,D,V,D,D,D,V,V,D,D
Union Bordeaux Bègles,D,V,V,D,V,D,D,V,V,V,V,V,D,V,D,D,V,D,V,D,V,V,V,D,D,V
Castres olympique,V,D,V,V,D,V,V,D,V,D,D,D,D,V,V,V,D,D,D,D,V,D,V,D,V,V
ASM Clermont,D,V,V,D,V,V,D,D,V,D,D,N,V,V,D,D,D,N,V,D,D,V,V,V,D,V
Lyon OU,V,D,D,V,D,D,D,V,D,D,V,D,V,D,V,V,D,V,D,V,D,V,D,V,D,V
Montpellier HR,V,D,D,D,D,D,D,D,D,V,D,V,V,D,V,V,V,V,D,D,D,D,D,D,V,D
Oyonnax Rugby,V,D,D,D,V,D,V,V,D,D,V,D,D,D,D,D,D,N,D,D,D,V,D,D,V,D
Stade français Paris,V,V,V,D,V,V,D,D,V,V,D,N,V,V,V,V,V,D,V,V,V,D,D,V,D,V
Section paloise,D,V,V,V,V,V,D,V,D,V,D,D,D,D,V,V,D,V,D,D,V,D,V,D,D,V
USA Perpignan,D,D,D,D,V,D,V,D,D,V,V,V,D,V,D,V,D,V,V,V,V,V,D,D,V,D
Racing 92,V,D,V,V,V,D,V,V,D,V,D,V,D,D,D,D,D,V,V,V,V,D,D,D,V,D
Stade rochelais,D,V,D,D,D,V,V,D,V,D,V,V,D,V,D,D,V,V,D,V,D,V,D,V,N,V
RC Toulon,D,V,D,V,D,V,V,V,V,D,V,D,V,D,D,D,V,D,V,V,V,D,V,V,V,D
Stade toulousain,D,V,V,V,D,V,D,V,D,V,D,V,V,V,V,V,V,D,D,V,D,V,V,V,N,D
