Rang,Club,J,V,N,D,Bo,Bd,Pm,Pe,Diff,Pts
1,Biarritz olympique (T),26,19,0,7,8,6,694,350,344,90
2,Stade français Paris,26,19,0,7,10,3,633,437,196,89
3,Stade toulousain,26,19,0,7,8,4,713,427,286,88
4,USA Perpignan,26,18,0,8,9,3,671,398,273,84
5,SU Agen,26,15,0,11,7,3,655,540,115,70
6,CS Bourgoin-Jallieu,26,14,0,12,7,4,591,516,75,67
7,Castres olympique,26,13,0,13,6,8,685,559,126,66
8,ASM Clermont,26,14,0,12,5,2,577,569,8,63
9,CA Brive,26,10,1,15,2,7,431,553,-122,51
10,RC Narbonne,26,11,0,15,1,2,533,775,-242,47
11,Montpellier HR,26,9,0,17,5,5,574,659,-85,46
12,Aviron bayonnais,26,8,1,17,4,5,514,669,-155,43
13,Section paloise,26,9,0,17,1,3,476,790,-314,40
14,RC Toulon (P),26,3,0,23,0,7,332,837,-505,19
