0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,AGE,BAY,BIA,BOU,BRI,CAS,CLE,MPL,NAR,PAU,PER,STF,TLN,TLS
SU Agen,,26-12,29-25,24-20,19-13,40-16,42-3,41-10,58-24,22-11,33-14,12-8,30-0,16-33
Aviron bayonnais,19-25,,10-9,22-33,17-11,11-34,19-24,44-14,47-21,44-16,15-33,28-11,43-16,12-26
Biarritz olympique,17-9,53-7,,29-10,43-5,18-14,9-0,57-7,59-10,33-16,29-8,7-14,57-12,29-20
CS Bourgoin-Jallieu,33-6,37-9,36-22,,19-14,23-24,22-11,17-3,35-13,52-13,15-18,29-16,40-21,12-37
CA Brive,18-16,19-19,8-15,15-10,,23-18,29-14,18-14,12-10,34-10,14-42,22-28,21-16,10-9
Castres olympique,19-26,30-23,13-19,29-16,48-14,,41-8,52-28,36-6,66-8,18-23,10-11,43-11,24-44
ASM Clermont,37-24,37-15,6-16,22-10,15-11,28-26,,29-23,30-9,27-13,15-20,23-12,64-12,28-22
Montpellier RC,44-19,33-0,18-21,33-20,24-13,16-34,42-13,,36-13,41-36,19-17,24-43,65-0,12-24
RC Narbonne,27-25,27-15,12-34,15-29,32-22,41-10,34-28,19-15,,26-19,25-13,26-20,37-19,27-19
Section paloise,26-23,21-18,26-20,18-29,16-15,25-27,16-28,21-12,28-24,,15-12,9-32,31-28,13-27
USA Perpignan,34-9,54-13,3-17,27-3,24-6,34-3,34-25,42-20,33-0,40-14,,16-12,52-0,15-13
Stade français Paris,37-24,27-19,21-16,33-7,25-17,25-10,28-15,45-13,36-24,42-26,23-16,,31-3,29-15
RC Toulon,21-50,19-14,10-20,13-15,13-20,9-16,14-36,8-3,33-9,16-20,12-25,11-24,,15-18
Stade toulousain,19-7,13-19,26-20,29-19,37-27,29-24,26-11,13-5,64-22,52-9,30-22,15-0,53-0,
