Rang,Club,J,V,N,D,Em,Ee,Bo,Bd,Pm,Pe,Diff,Pts
1,Stade toulousain,26,17,1,8,62,33,7,5,664,485,179,82
2,Racing Métro 92,26,16,2,8,47,33,5,5,674,549,125,78
3,Castres olympique,26,16,1,9,51,43,3,7,617,487,130,76
4,ASM Clermont (T),26,15,0,11,61,26,8,4,600,445,155,72
5,Biarritz olympique,26,15,1,10,58,55,4,6,647,571,76,72
6,Montpellier HR,26,15,1,10,56,40,7,3,602,495,107,72
7,Aviron bayonnais,26,16,0,10,48,36,2,5,569,508,61,71
8,RC Toulon,26,15,0,11,44,34,4,6,559,469,90,70
9,USA Perpignan,26,13,3,10,45,44,2,3,538,543,-5,63
10,SU Agen (P),26,11,1,14,48,70,2,3,534,677,-143,51
11,Stade français Paris,26,10,1,15,45,48,2,5,562,614,-52,49
12,CA Brive,26,8,2,16,39,56,3,7,495,578,-83,46
13,Stade rochelais (P),26,6,1,19,42,70,1,6,476,673,-197,33
14,CS Bourgoin-Jallieu,26,2,0,24,32,90,0,3,379,822,-443,6¹
