0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Clubs,AGE,BAY,BIA,BOU,BRI,CAS,CLE,MHR,SFR,PER,RAC,ROC,RCT,TOU
SU Agen,,21-3,28-23,26-9,36-10,21-16,26-17,6-35,12-27,23-23,21-20,29-14,23-12,8-25
Aviron bayonnais,27-0,,19-22,24-7,19-18,25-22,18-16,18-29,54-20,25-26,26-16,23-14,20-9,19-13
Biarritz O.,65-22,40-10,,37-20,52-26,17-17,16-13,30-22,19-11,23-21,36-32,32-30,3-13,25-20
Bourgoin-Jallieu,22-15,23-28,18-22,,18-3,22-33,12-25,27-42,16-26,15-32,19-32,14-44,3-26,11-35
CA Brive,12-30,18-26,21-27,50-6,,12-20,29-22,23-21,26-10,26-11,18-23,26-9,27-9,16-16
Castres O.,38-11,25-16,16-13,41-24,28-6,,23-19,43-29,34-12,23-13,31-25,25-10,18-12,22-16
ASM Clermont,45-19,24-19,41-13,34-9,33-9,24-6,,27-10,27-3,22-16,31-15,34-10,19-12,32-25
Montpellier HR,25-24,17-22,22-16,28-3,35-9,23-12,29-9,,29-23,12-12,36-19,26-6,27-3,22-21
Stade français,22-18,20-24,31-18,43-12,27-29,40-34,12-20,30-13,,9-21,16-29,41-26,22-15,31-3
USA Perpignan,31-18,25-19,17-12,27-20,23-16,10-29,21-13,6-16,22-21,,23-16,21-16,20-29,24-25
Racing Métro 92,51-34,15-9,17-12,51-20,6-6,20-13,28-17,28-16,15-13,18-18,,43-18,15-12,43-21
Stade rochelais,19-29,17-30,23-29,20-12,26-21,22-17,22-14,20-16,26-26,16-34,24-32,,13-15,19-22
RC Toulon,41-10,22-26,38-26,39-17,22-16,22-15,28-16,29-13,38-10,43-12,31-36,12-9,,21-9
Stade toulousain,44-24,29-20,23-19,33-0,23-22,23-16,15-6,29-9,34-16,38-29,28-23,50-3,44-5,
