Equipes/Journées,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26
SU Agen,13,14,13,13,13,13,13,13,14,14,13,13,11,12,11,13,11,12,11,11,11,11,11,11,11,10
Aviron bayonnais,7,2,6,2,1,1,4,6,8,10,10,9,8,7,8,8,8,7,6,7,8,9,9,9,8,7
Biarritz olympique,3,9,10,11,11,8,8,7,7,5,4,4,4,5,7,4,4,6,8,6,5,4,6,5,6,5
CS Bourgoin-Jallieu,14,13,14,14,14,14,14,14,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
CA Brive,9,4,11,12,8,6,10,11,11,11,11,12,13,11,12,12,13,13,12,12,13,12,12,12,12,12
Castres olympique,10,8,3,7,4,11,7,10,10,9,6,6,6,4,6,7,6,8,5,5,3,3,4,3,4,3
ASM Clermont,12,7,2,6,3,5,9,8,6,8,5,7,7,6,4,5,2,5,3,3,4,7,5,4,3,4
Stade rochelais,6,11,7,9,12,12,12,12,12,12,12,11,12,13,13,11,12,11,13,13,12,13,13,13,13,13
Montpellier HR,11,5,5,3,5,3,2,1,2,1,2,2,2,2,2,3,5,3,4,4,6,5,3,6,7,6
Stade français Paris,1,1,4,1,6,10,11,9,9,6,9,10,9,9,9,9,9,9,10,10,10,10,10,10,10,11
USA Perpignan,4,10,12,10,10,9,6,5,5,7,8,8,10,10,10,10,10,10,9,9,9,6,8,8,9,9
Racing Métro 92,5,12,8,4,7,2,1,2,1,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2
RC Toulon,8,6,9,8,9,7,5,4,4,4,7,5,5,8,5,6,7,4,7,8,7,8,7,7,5,8
Stade toulousain,2,3,1,5,2,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
