Rang,Club,J,V,N,D,Bo,Bd,Pm,Pe,Diff,Pts
1,ASM Clermont,26,20,0,6,11,5,773,380,393,96
2,Stade toulousain,26,19,0,7,11,4,723,394,329,91
3,Stade français Paris (T),26,18,0,8,5,3,617,417,200,80
4,USA Perpignan,26,17,2,7,4,3,531,392,139,79
5,Castres olympique,26,15,0,11,6,3,564,524,40,69
6,Biarritz olympique,26,13,1,12,3,9,385,339,46,66
7,Montauban TGXV,26,13,0,13,2,9,420,446,-26,63
8,Montpellier RC,26,14,0,12,1,4,426,490,-64,61
9,Aviron bayonnais,26,11,1,14,2,6,457,535,-78,54
10,CS Bourgoin-Jallieu,26,10,2,14,1,6,453,526,-73,52
11,CA Brive,26,10,0,16,2,9,425,514,-89,51
12,SC Albi[2],26,9,1,16,2,8,415,549,-134,48
13,US Dax (P),26,6,1,19,0,8,314,645,-331,34
14,FC Auch (P),26,3,0,23,0,7,336,688,-352,19
